mes_ano,receita_condominio,valor_multas,total_devido_proxy,pct_cobranca_atraso
2022-05,41248.84,131.5,41380.34,0.32
2022-06,47457.32,130.59,47587.91,0.27
2022-07,49234.78,165.28,49400.06,0.33
2022-08,217605.41,378.38,217983.79,0.17
2022-09,55895.34,163.14,56058.48,0.29
2022-10,55203.73,133.28,55337.01,0.24
2022-11,53395.34,75.07,53470.41,0.14
2022-12,55297.93,139.46,55437.39,0.25
2023-01,54265.99,154.27,54420.26,0.28
2023-02,57497.92,194.44,57692.36,0.34
2023-03,59361.64,166.29,59527.93,0.28
2023-04,60194.63,181.33,60375.96,0.3
2023-05,64965.59,91.8,65057.39,0.14
2023-07,59362.76,199.42,59562.18,0.33
2023-08,63435.66,156.28,63591.94,0.25
2023-09,50751.04,389.98,51141.02,0.76
2023-10,68960.51,3642.54,72603.05,5.02
2023-11,56044.25,104.48,56148.73,0.19
2023-12,49147.71,175.52,49323.23,0.36
2024-01,50359.77,178.09,50537.86,0.35
2024-02,48056.78,154.37,48211.15,0.32
2024-03,48919.4,181.75,49101.15,0.37
2024-04,52540.6,163.17,52703.77,0.31
2024-05,48286.5,209.71,48496.21,0.43
2024-06,50593.63,98.36,50691.99,0.19
2024-07,52232.11,245.97,52478.08,0.47
2024-08,53712.07,390.99,54103.06,0.72
2024-09,49207.1,97.87,49304.97,0.2
2024-10,57962.25,1113.02,59075.27,1.88
2024-11,51158.83,284.5,51443.33,0.55
2024-12,64869.46,2481.1,67350.56,3.68
2025-01,53198.99,87.32,53286.31,0.16
2025-02,51096.42,76.92,51173.34,0.15
2025-03,62745.32,439.04,63184.36,0.69
2025-04,65452.6,390.77,65843.37,0.59
2025-05,61828.89,244.01,62072.9,0.39
2025-06,63375.61,174.35,63549.96,0.27
2025-07,74274.36,2162.91,76437.27,2.83
2025-08,135026.0,289.8,135315.8,0.21
2025-09,130049.64,366.96,130416.6,0.28
2025-10,135849.04,256.06,136105.1,0.19
2025-11,141495.66,479.18,141974.84,0.34
2025-12,142773.68,392.66,143166.34,0.27
2026-01,134489.82,528.76,135018.58,0.39
2026-02,133638.64,124.32,133762.96,0.09
2026-03,139455.3,921.86,140377.16,0.66
2026-04,141233.72,1347.86,142581.58,0.95
2026-05,132666.0,944.32,133610.32,0.71
2026-06,136445.14,409.08,136854.22,0.3
