mes_ano,Qtd,Valor Total R$,Valor Médio R$
2022-05,6,19917.55,3319.59
2022-06,5,8074.26,1614.85
2022-07,8,9857.06,1232.13
2022-08,7,62835.52,8976.5
2022-09,9,48679.08,5408.79
2022-10,6,26397.36,4399.56
2022-11,5,64546.15,12909.23
2022-12,11,39515.07,3592.28
2023-01,7,46007.1,6572.44
2023-02,8,15117.2,1889.65
2023-03,10,5245.31,524.53
2023-04,6,3928.09,654.68
2023-05,2,485.0,242.5
2023-07,5,27325.73,5465.15
2023-08,6,12550.5,2091.75
2023-09,5,13954.76,2790.95
2023-10,6,14710.61,2451.77
2023-11,4,3477.59,869.4
2024-01,1,320.0,320.0
2024-02,4,5995.8,1498.95
2024-03,2,1140.17,570.08
2024-04,2,923.9,461.95
2024-05,3,3847.77,1282.59
2024-06,2,1973.8,986.9
2024-07,3,5234.5,1744.83
2024-08,2,358.87,179.44
2024-09,2,676.78,338.39
2024-10,3,3117.74,1039.25
2024-11,2,2660.5,1330.25
2024-12,3,3246.1,1082.03
2025-01,2,1611.39,805.7
2025-02,5,8408.15,1681.63
2025-03,6,1554.33,259.06
2025-04,5,1669.7,333.94
2025-05,6,10573.18,1762.2
2025-06,6,7043.7,1173.95
2025-07,8,12322.06,1540.26
2025-08,2,1822.14,911.07
2025-10,1,396.35,396.35
2025-12,2,25.92,12.96
2026-01,2,9138.36,4569.18
2026-03,2,4266.81,2133.4
2026-05,2,3533.4,1766.7
2026-06,2,1150.36,575.18
